pincode,city,delivery_model,platform,zone_type,weekly_earnings,deliveries_per_day,is_part_time,earnings_consistency,experience_months,multi_platform,cold_chain,flood_risk,heat_risk,aqi_risk,cyclone_risk,coastal_zone,seasonal_index,month,no_claim_weeks,no_claim_discount,weekly_premium,max_weekly_payout
380015,Ahmedabad,scheduled,PharmEasy,commercial,3021,21,0,0.613,1,1,0,0.294,0.891,0.531,0.082,0,0.7,6,4,0.12,51.68,453.0
226010,Lucknow,same_day,PharmEasy,industrial,4296,10,0,0.82,16,1,0,0.428,0.784,0.759,0.052,0,0.266,2,0,0.0,83.03,644.0
600040,Chennai,scheduled,Netmeds,hospital_adjacent,2914,24,0,0.626,14,0,0,0.62,0.761,0.482,0.548,0,0.953,8,2,0.06,40.18,437.0
500032,Hyderabad,same_day,Tata1mg,residential,5265,10,0,0.811,26,0,0,0.444,0.717,0.499,0.12,0,0.793,7,0,0.0,83.6,790.0
400022,Mumbai,same_day,PharmEasy,hospital_adjacent,4771,12,0,0.788,10,1,0,0.599,0.456,0.586,0.298,0,0.211,11,4,0.12,73.75,716.0
400053,Mumbai,same_day,Tata1mg,residential,5570,8,0,0.825,2,0,0,0.558,0.452,0.563,0.274,0,0.152,3,1,0.03,78.59,800.0
600001,Chennai,same_day,PharmEasy,residential,5006,8,0,0.499,5,0,1,0.763,0.781,0.45,0.61,1,0.71,6,0,0.0,119.81,751.0
440022,Nagpur,hyperlocal,Apollo24x7,residential,6455,12,0,0.866,73,0,0,0.38,0.793,0.493,0.0,0,0.327,3,2,0.06,147.97,800.0
600002,Chennai,hyperlocal,PhonePePincode,hospital_adjacent,6233,16,0,0.817,4,1,1,0.637,0.774,0.546,0.543,1,0.223,1,0,0.0,250.0,800.0
560047,Bengaluru,same_day,Apollo24x7,hospital_adjacent,5322,11,0,0.822,8,1,0,0.373,0.305,0.368,0.059,0,0.521,4,0,0.0,82.79,798.0
345002,Jaisalmer,scheduled,PharmEasy,commercial,4177,14,0,0.588,12,0,1,0.041,0.947,0.178,0.025,0,0.367,12,0,0.0,62.4,627.0
226010,Lucknow,scheduled,Netmeds,residential,4531,18,0,0.781,3,0,0,0.419,0.776,0.749,0.056,0,0.808,6,0,0.0,62.83,680.0
500001,Hyderabad,same_day,Apollo24x7,residential,4819,10,0,0.713,28,0,0,0.523,0.711,0.542,0.112,0,0.282,2,2,0.06,71.07,723.0
110044,Delhi,hyperlocal,Apollo24x7,hospital_adjacent,7204,14,0,0.691,17,1,0,0.776,0.918,0.99,0.057,0,0.389,3,0,0.0,219.18,800.0
226001,Lucknow,scheduled,Netmeds,hospital_adjacent,3576,19,0,0.445,49,0,0,0.533,0.835,0.741,0.019,0,0.557,10,2,0.06,61.31,536.0
700012,Kolkata,hyperlocal,PhonePePincode,commercial,5421,14,0,0.621,39,0,1,0.853,0.673,0.772,0.395,1,0.158,2,1,0.03,138.82,800.0
380009,Ahmedabad,scheduled,PharmEasy,residential,4150,24,0,0.876,5,0,0,0.449,0.866,0.629,0.107,0,0.654,10,0,0.0,64.95,622.0
600042,Chennai,same_day,Apollo24x7,residential,3026,11,0,0.61,15,1,0,0.888,0.795,0.56,0.639,1,0.279,12,2,0.06,93.49,454.0
110006,Delhi,scheduled,Netmeds,residential,3610,17,0,0.746,54,0,1,0.804,0.918,0.972,0.042,0,0.734,4,2,0.06,74.92,542.0
411014,Pune,scheduled,Netmeds,residential,4191,23,0,0.872,1,1,0,0.446,0.537,0.44,0.02,0,0.383,3,1,0.03,50.37,629.0
226001,Lucknow,scheduled,PharmEasy,commercial,4188,22,0,0.978,4,0,0,0.515,0.826,0.751,0.024,0,0.463,5,3,0.09,52.9,628.0
380001,Ahmedabad,scheduled,Netmeds,residential,4640,27,0,0.575,1,0,1,0.26,0.865,0.61,0.079,0,0.519,10,0,0.0,66.57,696.0
500032,Hyderabad,hyperlocal,Apollo24x7,industrial,5689,15,0,0.563,45,0,0,0.417,0.715,0.468,0.088,0,0.328,11,0,0.0,103.03,800.0
400053,Mumbai,same_day,PharmEasy,residential,5055,9,0,0.454,23,0,0,0.554,0.486,0.577,0.275,0,0.519,4,2,0.06,79.82,758.0
400022,Mumbai,same_day,Apollo24x7,hospital_adjacent,6448,12,0,0.6,9,0,1,0.524,0.442,0.587,0.314,0,0.882,6,1,0.03,173.79,800.0
500038,Hyderabad,same_day,Apollo24x7,hospital_adjacent,4788,10,0,0.675,11,0,0,0.698,0.714,0.571,0.082,0,0.838,9,1,0.03,97.87,718.0
440010,Nagpur,same_day,Apollo24x7,commercial,3707,10,0,0.727,7,0,1,0.459,0.844,0.518,0.016,0,0.301,1,2,0.06,90.0,556.0
380015,Ahmedabad,same_day,Tata1mg,hospital_adjacent,6699,8,0,0.907,11,0,0,0.259,0.85,0.585,0.044,0,0.556,10,0,0.0,145.44,800.0
411001,Pune,same_day,Tata1mg,residential,3058,8,0,0.782,11,0,0,0.443,0.569,0.451,0.043,0,0.559,5,1,0.03,76.78,459.0
560034,Bengaluru,hyperlocal,Apollo24x7,hospital_adjacent,6869,13,0,0.617,29,1,0,0.611,0.332,0.419,0.035,0,0.901,6,3,0.09,181.28,800.0
440022,Nagpur,same_day,PharmEasy,residential,4433,8,0,0.562,6,0,0,0.399,0.78,0.528,0.008,0,0.615,10,1,0.03,85.72,665.0
380001,Ahmedabad,scheduled,PharmEasy,commercial,4278,19,0,0.814,4,1,1,0.312,0.872,0.626,0.122,0,0.51,5,0,0.0,67.07,642.0
700064,Kolkata,hyperlocal,Tata1mg,hospital_adjacent,3965,10,0,0.49,6,0,0,0.864,0.665,0.778,0.472,1,0.769,8,1,0.03,152.49,595.0
500032,Hyderabad,same_day,PharmEasy,residential,5462,11,0,0.893,2,0,0,0.515,0.694,0.449,0.092,0,0.587,4,1,0.03,84.66,800.0
500008,Hyderabad,same_day,PharmEasy,hospital_adjacent,3494,9,0,0.627,3,1,0,0.703,0.755,0.59,0.104,0,0.852,8,1,0.03,103.25,524.0
500081,Hyderabad,same_day,Tata1mg,commercial,4947,9,0,0.838,10,0,1,0.382,0.675,0.479,0.106,0,0.631,5,0,0.0,95.8,742.0
110085,Delhi,same_day,Tata1mg,industrial,4647,9,0,0.512,3,0,0,0.477,0.901,0.94,0.04,0,0.745,9,1,0.03,90.47,697.0
751001,Bhubaneswar,same_day,Tata1mg,residential,4773,7,0,0.481,1,0,0,0.646,0.711,0.417,0.753,1,0.505,4,3,0.09,88.01,716.0
302003,Jaipur,same_day,PharmEasy,hospital_adjacent,4728,9,0,0.765,4,0,0,0.169,0.903,0.518,0.032,0,0.917,8,3,0.09,85.05,709.0
411045,Pune,hyperlocal,PhonePePincode,commercial,6419,15,0,0.719,37,0,0,0.512,0.595,0.418,0.074,0,0.327,3,0,0.0,166.19,800.0
560047,Bengaluru,hyperlocal,PhonePePincode,residential,5782,15,0,0.84,11,0,0,0.383,0.303,0.362,0.066,0,0.49,4,3,0.09,99.13,800.0
700046,Kolkata,hyperlocal,PhonePePincode,commercial,6726,15,0,0.615,1,0,0,0.824,0.65,0.753,0.436,1,0.571,10,2,0.06,202.17,800.0
110001,Delhi,hyperlocal,Apollo24x7,hospital_adjacent,4921,17,0,0.752,11,0,0,0.406,0.966,0.935,0.013,0,0.402,3,3,0.09,118.17,738.0
226016,Lucknow,scheduled,Netmeds,hospital_adjacent,4295,17,0,0.946,21,1,1,0.641,0.866,0.816,0.039,0,0.657,10,1,0.03,78.26,644.0
641001,Coimbatore,same_day,PharmEasy,residential,5143,9,0,0.44,15,1,0,0.258,0.66,0.279,0.226,0,0.703,4,0,0.0,84.87,771.0
700012,Kolkata,hyperlocal,PhonePePincode,commercial,5214,17,0,0.477,39,0,0,0.834,0.688,0.786,0.413,1,0.432,2,2,0.06,131.12,782.0
400078,Mumbai,hyperlocal,Apollo24x7,commercial,7363,14,0,0.851,11,0,0,0.781,0.496,0.635,0.301,0,0.733,9,0,0.0,213.1,800.0
110001,Delhi,scheduled,Tata1mg,hospital_adjacent,3732,20,0,0.848,32,0,0,0.463,0.909,0.943,0.049,0,0.684,10,0,0.0,70.54,560.0
110006,Delhi,hyperlocal,PhonePePincode,commercial,7192,19,0,0.74,37,1,0,0.721,0.893,0.971,0.027,0,0.979,8,2,0.06,219.31,800.0
411045,Pune,scheduled,Netmeds,commercial,3788,24,0,0.519,16,0,0,0.542,0.555,0.437,0.025,0,0.41,3,0,0.0,58.64,568.0
751002,Bhubaneswar,scheduled,Netmeds,residential,4528,19,0,0.778,30,1,0,0.601,0.692,0.395,0.723,1,0.236,2,1,0.03,58.88,679.0
600040,Chennai,hyperlocal,Apollo24x7,commercial,5758,13,0,0.867,8,1,1,0.529,0.739,0.52,0.525,0,0.381,1,2,0.06,130.86,800.0
345002,Jaisalmer,same_day,Tata1mg,hospital_adjacent,4695,4,1,0.879,20,0,0,0.035,0.959,0.185,0.003,0,0.382,2,0,0.0,76.86,704.0
226001,Lucknow,scheduled,Netmeds,commercial,4884,14,0,0.807,11,1,1,0.513,0.83,0.755,0.053,0,0.455,4,2,0.06,63.59,733.0
400068,Mumbai,hyperlocal,PhonePePincode,hospital_adjacent,7150,14,0,0.715,28,0,0,0.719,0.477,0.63,0.28,0,0.787,6,2,0.06,197.13,800.0
110085,Delhi,hyperlocal,PhonePePincode,hospital_adjacent,5286,13,0,0.536,7,1,0,0.403,0.92,0.952,0.03,0,0.74,7,1,0.03,133.02,793.0
345001,Jaisalmer,same_day,Apollo24x7,residential,4444,12,0,0.817,6,0,0,0.066,0.956,0.226,0.018,0,0.418,11,1,0.03,74.75,667.0
345001,Jaisalmer,scheduled,PharmEasy,hospital_adjacent,5327,18,0,0.815,7,0,0,0.061,0.937,0.211,0.0,0,0.916,6,0,0.0,59.91,799.0
400063,Mumbai,same_day,Apollo24x7,residential,4969,10,0,0.776,7,0,0,0.981,0.482,0.653,0.287,0,0.329,2,2,0.06,85.68,745.0
500001,Hyderabad,same_day,Apollo24x7,residential,2972,7,0,0.914,3,0,1,0.548,0.693,0.571,0.121,0,0.899,9,0,0.0,59.08,446.0
751024,Bhubaneswar,scheduled,Netmeds,residential,3593,19,0,0.741,1,0,0,0.742,0.678,0.43,0.757,1,0.226,1,0,0.0,65.95,539.0
411001,Pune,same_day,Apollo24x7,hospital_adjacent,6067,13,0,0.777,77,0,0,0.527,0.557,0.47,0.0,0,0.245,11,1,0.03,118.42,800.0
411001,Pune,same_day,Tata1mg,residential,4851,9,0,0.58,3,0,0,0.572,0.549,0.454,0.061,0,0.983,7,2,0.06,82.95,728.0
641001,Coimbatore,scheduled,Tata1mg,commercial,4232,20,0,0.347,19,0,1,0.348,0.659,0.295,0.219,0,0.961,9,2,0.06,66.34,635.0
560001,Bengaluru,same_day,PharmEasy,residential,4561,11,0,0.718,2,0,1,0.335,0.315,0.381,0.035,0,0.315,12,1,0.03,78.76,684.0
641041,Coimbatore,scheduled,Netmeds,residential,4235,20,0,0.897,44,0,1,0.242,0.655,0.263,0.188,0,0.365,2,1,0.03,55.81,635.0
440022,Nagpur,scheduled,Netmeds,commercial,3776,16,0,0.878,6,0,0,0.348,0.801,0.487,0.028,0,0.443,1,2,0.06,51.33,566.0
751002,Bhubaneswar,same_day,PharmEasy,hospital_adjacent,5917,8,0,0.757,1,1,0,0.622,0.685,0.386,0.78,1,0.894,9,0,0.0,109.17,800.0
440022,Nagpur,same_day,Apollo24x7,hospital_adjacent,6255,7,0,0.956,17,1,0,0.359,0.787,0.453,0.035,0,0.204,1,0,0.0,129.66,800.0
302017,Jaipur,same_day,Apollo24x7,commercial,5131,7,0,0.668,10,0,0,0.174,0.844,0.487,0.052,0,0.722,10,2,0.06,77.97,770.0
